Accession,Location,Source,Study,present,OTUs
GU810473,Pacific Northwest,Alnus rubra,Lipus & Kennedy,NA,NA
GU810474,Pacific Northwest,Alnus rubra,Lipus & Kennedy,NA,NA
GU810475,Pacific Northwest,Alnus rubra,Lipus & Kennedy,NA,NA
GU810476,Pacific Northwest,Alnus rubra,Lipus & Kennedy,NA,NA
GU810477,Pacific Northwest,Alnus rubra,Lipus & Kennedy,NA,NA
KM017186,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017187,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017188,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017189,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017190,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017191,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017192,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017193,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017194,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017195,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017196,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017197,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017198,Pacific Northwest,Alnus viridis,Polme et al.,NA,NA
KM017199,Pacific Northwest,Alnus viridis,Polme et al.,NA,NA
KM017200,Pacific Northwest,Alnus viridis,Polme et al.,NA,NA
KM017201,Pacific Northwest,Alnus viridis,Polme et al.,NA,NA
KM017202,Pacific Northwest,Alnus viridis,Polme et al.,NA,NA
KM017203,Pacific Northwest,Alnus viridis,Polme et al.,NA,NA
KM017204,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017205,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017206,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017207,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017208,Pacific Northwest,Alnus rubra,Polme et al.,NA,NA
KM017209,Pacific Northwest,Alnus rhombifolia,Polme et al.,NA,NA
KM017210,Pacific Northwest,Alnus rhombifolia,Polme et al.,NA,NA
KM017211,Pacific Northwest,Alnus rhombifolia,Polme et al.,NA,NA
MK105601,Pacific Northwest,Alnus rhombifolia,Balkan et al.,NA,NA
MK105602,Pacific Northwest,Alnus rhombifolia,Balkan et al.,NA,NA
MK105603,Pacific Northwest,Alnus rhombifolia,Balkan et al.,NA,NA
MK105604,Pacific Northwest,Alnus rhombifolia,Balkan et al.,NA,NA
MK105605,Pacific Northwest,Alnus rhombifolia,Balkan et al.,NA,NA
HM031938,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031939,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031940,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031941,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031942,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031943,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031944,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031945,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031946,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031947,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031948,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031949,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031950,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031951,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031952,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031953,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031954,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031955,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031956,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031957,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031958,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031959,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
HM031960,Pacific Northwest,Alnus rubra,"Kennedy, Weber, Bluhm",NA,NA
JN099752,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099753,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099754,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099755,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099756,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099757,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099758,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099759,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099760,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099761,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099762,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099763,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099764,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099765,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099766,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099767,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099768,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099769,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099770,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099771,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099772,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099773,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099774,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099775,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099776,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099777,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099778,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099779,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099780,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
JN099781,Mexico,Alnus sp.,Kennedy and Higgins,NA,NA
GQ387372,Pacific Northwest,Alnus sp.,Kennedy et al.,NA,NA
GQ387373,Pacific Northwest,Alnus sp.,Kennedy et al.,NA,NA
OTU1,Mount St. Helens,Alnus rubra & Alnus viridis ssp. sinuata,present study,present study,OTU1
OTU2,Mount St. Helens,Alnus rubra & Alnus viridis ssp. sinuata,present study,present study,OTU2
OTU3,Mount St. Helens,Alnus rubra & Alnus viridis ssp. sinuata,present study,present study,OTU3
OTU4,Mount St. Helens,Alnus rubra,present study,present study,OTU4
